0.607,0.645,0.494,0.499,0.485,0.509,0.503,0.487,0.505,0.517,1
0.496,0.495,0.504,0.481,0.516,0.511,0.5,0.499,0.569,0.487,1
0.497,0.543,0.523,0.488,0.508,0.503,0.476,0.497,0.499,0.481,1
0.497,0.499,0.511,0.494,0.568,0.487,0.494,0.532,0.497,0.491,0
0.494,0.707,0.511,0.384,0.527,0.472,0.484,0.464,0.494,0.412,0
0.496,0.468,0.506,0.5,0.515,0.486,0.493,0.489,0.333,0.467,1
0.473,0.5,0.522,0.504,0.535,0.502,0.535,0.546,0.532,0.490,1
0.5,0.493,0.386,0.452,0.5,0.476,0.468,0.537,0.515,0.525,1
0.499,0.492,0.492,0.472,0.511,0.493,0.493,0.522,0.499,0.496,0
0.475,0.473,0.461,0.448,0.498,0.504,0.472,0.460,0.480,0.490,0
0.522,0.702,0.666,0.525,0.497,0.524,0.606,0.495,0.530,0.547,1
0.549,0.503,0.503,0.526,0.627,0.516,0.627,0.518,0.501,0.627,1
0.507,0.503,0.470,0.508,0.484,0.494,0.506,0.5,0.508,0.492,1
0.528,0.646,0.542,0.524,0.603,0.489,0.517,0.329,0.508,0.5,1
0.575,0.500,0.498,0.504,0.503,0.503,0.499,0.504,0.466,0.493,1
0.502,0.493,0.489,0.117,0.520,0.488,0.558,0.498,0.513,0.488,0
0.539,0.470,0.407,0.472,0.484,0.525,0.379,0.512,0.509,0.496,1
0.496,0.5,0.509,0.502,0.497,0.437,0.587,0.494,0.512,0.493,1
0.422,0.481,0.557,0.566,0.514,0.477,0.493,0.476,0.512,0.448,1
0.542,0.509,0.5,0.518,0.531,0.507,0.560,0.519,0.522,0.518,1
0.471,0.518,0.498,0.485,0.5,0.514,0.491,0.489,0.491,0.494,1
0.494,0.432,0.380,0.634,0.482,0.558,0.263,0.318,0.443,0.460,1
0.507,0.480,0.515,0.301,0.485,0.513,0.496,0.472,0.482,0.508,1
0.475,0.475,0.491,0.507,0.475,0.5,0.478,0.507,0.476,0.480,0
0.493,0.423,0.489,0.495,0.480,0.509,0.5,0.476,0.5,0.121,1
0.364,0.492,0.483,0.447,0.494,0.495,0.445,0.452,0.501,0.508,0
0.516,0.487,0.519,0.495,0.537,0.482,0.436,0.519,0.478,0.490,0
0.522,0.500,0.498,0.495,0.502,0.488,0.503,0.505,0.525,0.514,0
0.530,0.510,0.455,0.492,0.537,0.498,0.496,0.502,0.511,0.521,1
0.506,0.513,0.519,0.531,0.503,0.539,0.519,0.540,0.507,0.553,1
0.507,0.501,0.496,0.537,0.515,0.495,0.512,0.498,0.522,0.503,0
0.525,0.513,0.483,0.469,0.472,0.61,0.533,0.469,0.527,0.382,0
0.534,0.535,0.464,0.513,0.498,0.487,0.5,0.511,0.506,0.435,0
